wvl_1,T = 22°C,wvl_2,T = -8°C,wvl_3,T = -25°C,wvl_4,T = -7°C,wvl_5,T = 25°C (H),wvl_6,T = 20°C,wvl_7,T = 25°C (S),Index
950.6,2.25e-6,950.6,1.82e-6,,,,,,,874,3.41E-07,,,224
952.4,2.48e-6,952.4,2.04e-6,,,,,,,875,3.45E-07,,,225
954.2,2.75e-6,954.2,2.19e-6,,,,,,,876,3.49E-07,,,226
956.0,2.99e-6,956.0,2.39e-6,,,,,,,877,3.53E-07,,,227
957.9,3.19e-6,957.9,2.57e-6,,,,,,,878,3.57E-07,,,228
959.7,3.35e-6,959.7,2.66e-6,,,,,,,879,3.62E-07,,,229
961.5,3.47e-6,961.5,2.80e-6,,,,,,,880,3.66E-07,,,230
963.4,3.55e-6,963.4,2.88e-6,,,,,,,881,3.70E-07,,,231
965.3,3.61e-6,965.3,2.94e-6,,,,,,,882,3.75E-07,,,232
967.1,3.66e-6,967.1,3.00e-6,,,,,,,883,3.79E-07,,,233
969.0,3.69e-6,969.0,3.05e-6,,,,,,,884,3.83E-07,,,234
970.9,3.72e-6,970.9,3.16e-6,,,,,,,885,3.88E-07,,,235
972.8,3.75e-6,972.8,3.18e-6,,,,,,,886,3.93E-07,,,236
974.7,3.77e-6,974.7,3.23e-6,,,,,,,887,3.97E-07,,,237
976.6,3.78e-6,976.6,3.26e-6,,,,,,,888,4.01E-07,,,238
978.5,3.78e-6,978.5,3.28e-6,,,,,,,889,4.06E-07,,,239
980.4,3.76e-6,980.4,3.33e-6,,,,,,,890,4.11E-07,,,240
982.3,3.74e-6,982.3,3.31e-6,,,,,,,891,4.15E-07,,,241
984.3,3.71e-6,984.3,3.32e-6,,,,,,,892,4.20E-07,,,242
986.2,3.67e-6,986.2,3.34e-6,,,,,,,893,4.24E-07,,,243
988.1,3.62e-6,988.1,3.37e-6,,,,,,,894,4.28E-07,,,244
990.1,3.57e-6,990.1,3.37e-6,,,,,,,895,4.32E-07,,,245
992.1,3.50e-6,992.1,3.35e-6,,,,,,,896,4.37E-07,,,246
994.0,3.45e-6,994.0,3.26e-6,,,,,,,897,4.42E-07,,,247
996.0,3.38e-6,996.0,3.22e-6,,,,,,,898,4.46E-07,,,248
998.0,3.31e-6,998.0,3.22e-6,,,,,,,899,4.51E-07,,,249
1000.0,3.24e-6,1000.0,3.15e-6,,,,,,,900,4.56E-07,,,250
1002.0,3.16e-6,1002.0,3.15e-6,,,,,,,901,4.60E-07,,,251
1004.0,3.09e-6,1004.0,3.11e-6,,,,,,,902,4.65E-07,,,252
1006.0,3.01e-6,1006.0,3.05e-6,,,,,,,903,4.71E-07,,,253
1008.1,2.92e-6,1008.1,2.95e-6,,,,,,,904,4.76E-07,,,254
1010.1,2.83e-6,1010.1,2.92e-6,,,,,,,905,4.81E-07,,,255
1012.1,2.74e-6,1012.1,2.84e-6,,,,,,,906,4.87E-07,,,256
1014.2,2.66e-6,1014.2,2.75e-6,,,,,,,907,4.93E-07,,,257
1016.3,2.58e-6,1016.3,2.70e-6,,,,,,,908,4.99E-07,,,258
1018.3,2.50e-6,1018.3,2.61e-6,,,,,,,909,5.06E-07,,,259
